2021/12/10 12:19:39 [notice] 1#1: using the "epoll" event method
2021/12/10 12:19:39 [notice] 1#1: nginx/1.21.4
2021/12/10 12:19:39 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2021/12/10 12:19:39 [notice] 1#1: OS: Linux 5.4.72-microsoft-standard-WSL2
2021/12/10 12:19:39 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2021/12/10 12:19:39 [notice] 1#1: start worker processes
2021/12/10 12:19:39 [notice] 1#1: start worker process 31
2021/12/10 12:19:39 [notice] 1#1: start worker process 32
2021/12/10 12:19:39 [notice] 1#1: start worker process 33
2021/12/10 12:19:39 [notice] 1#1: start worker process 34
2021/12/10 12:19:39 [notice] 1#1: start worker process 35
2021/12/10 12:19:39 [notice] 1#1: start worker process 36
2021/12/10 12:19:39 [notice] 1#1: start worker process 37
2021/12/10 12:19:39 [notice] 1#1: start worker process 38
2021/12/10 12:19:39 [notice] 1#1: start worker process 39
2021/12/10 12:19:39 [notice] 1#1: start worker process 40
2021/12/10 12:19:39 [notice] 1#1: start worker process 41
2021/12/10 12:19:39 [notice] 1#1: start worker process 42
2021/12/10 12:19:39 [notice] 1#1: start worker process 43
2021/12/10 12:19:39 [notice] 1#1: start worker process 44
2021/12/10 12:19:39 [notice] 1#1: start worker process 45
2021/12/10 12:19:39 [notice] 1#1: start worker process 46
